Year,Month,Total
2013,1,  0.0000
2013,2,  0.0000
2013,3,  0.0000
2013,4,  0.0000
2013,5,  0.0000
2013,6,  0.0000
2013,7,62547.1011
2013,8,259990.0700
2013,9,264950.7460
2013,10,385833.0925
2013,11,166205.7517
2013,12,80708.7614
2014,1,28911.9366
2014,2,7355.5426
2014,3,15184.4100
2014,4,56463.0330
2014,5,  0.0000
2014,6,  0.0000
2014,7,  0.0000
2014,8,  0.0000
2014,9,  0.0000
2014,10,  0.0000
2014,11,  0.0000
2014,12,46302.7479
2015,1,42786.7270
2015,2,50875.2365
2015,3,56181.4559
2015,4,56827.6406
2015,5,51112.7038
2015,6,30323.3777
2015,7,157646.5818
2015,8,88354.1670
2015,9,109000.8558
2015,10,67652.7694
2015,11,38977.4252
2015,12,1540.0424
2016,1,391.5779
2016,2,16775.9234
2016,3,50227.6655
2016,4,13744.9416
2016,5,5450.3824
2016,6,742.8125
2016,7,213782.2622
2016,8,593376.9899
2016,9,875346.2172
2016,10,1282660.8145
2016,11,1171525.2701
2016,12,1486162.2432
2017,1,470909.3418
2017,2,99909.6517
2017,3,94779.9938
2017,4,  0.0000
2017,5,  0.0000
2017,6,  0.0000
2017,7,  0.0000
2017,8,  0.0000
2017,9,  0.0000
2017,10,  0.0000
2017,11,  0.0000
2017,12,  0.0000
