Year,Month,Goolwa (GL),Mundoo (GL),Ewe (GL),Tau (GL),Boundary (GL),All (GL)
2012,12,26.3444,1.8623,0.0000,181.8706,5.6069,215.6842
2013,1,9.4125,1.0626,0.0000,49.1343,6.8713,66.4807
2013,2,10.4797,3.0243,0.0000,15.5352,5.7357,34.7750
2013,3,8.4392,2.4331,0.0000,8.0152,5.0951,23.9826
2013,4,20.0669,9.2053,0.0000,70.9758,6.6137,106.8618
2013,5,30.4378,15.4569,0.0000,112.9996,6.9656,165.8598
2013,6,14.6695,6.9168,0.0000,52.4626,2.7555,76.8044
2013,7,36.8161,10.3141,0.0000,19.3144,0.1360,66.5806
2013,8,111.4380,20.7647,23.3720,125.8908,0.2087,281.6742
2013,9,92.4275,11.2020,33.5218,135.4119,0.2117,272.7749
2013,10,131.0818,26.1321,72.9631,192.7881,0.2036,423.1687
2013,11,62.1785,0.0000,0.0000,103.8674,0.2257,166.2716
2013,12,28.7474,0.0000,0.0000,51.7007,0.1844,80.6325
2014,1,6.6215,0.4711,0.0000,15.9298,0.1737,23.1961
2014,2,0.1627,0.0000,0.0000,7.1040,0.0822,7.3488
2014,3,6.6344,0.0000,0.0000,8.4230,0.0967,15.1541
2014,4,17.6818,3.3865,0.0000,39.6207,0.1136,60.8025
2014,5,22.0237,4.8674,0.0000,39.1423,0.1453,66.1787
2014,6,15.9206,0.0000,0.0000,26.6697,0.1243,42.7147
2014,7,75.9020,4.1197,0.0000,54.8234,0.1519,134.9969
2014,8,148.8888,2.4596,23.3409,178.2136,0.1537,353.0566
2014,9,29.7220,0.0000,0.0000,35.0878,0.1155,64.9252
2014,10,20.9556,0.0000,0.0000,31.5297,0.0818,52.5671
2014,11,14.6448,0.6503,0.0000,39.6915,0.0753,55.0619
2014,12,11.1711,0.1519,0.0000,34.6197,0.7636,46.7062
2015,1,11.8757,0.1738,0.0000,28.8926,2.1192,43.0613
2015,2,11.5816,0.6865,0.0000,37.9804,0.6850,50.9335
2015,3,9.6282,0.6770,0.1615,45.8072,0.5207,56.7946
2015,4,13.2898,1.8825,1.2360,40.7515,0.6064,57.7662
2015,5,11.6925,2.0579,2.0757,35.8406,0.5309,52.1975
2015,6,5.3697,0.0000,0.0000,16.6280,0.8355,22.8332
2015,7,28.7525,10.1259,0.0000,92.6362,0.8078,132.3223
2015,8,49.5553,14.8180,0.0000,40.2431,0.9498,105.5663
2015,9,17.7544,0.0000,0.0000,92.6409,1.0625,111.4579
2015,10,9.0629,0.0000,0.0000,59.9108,1.1419,70.1156
2015,11,0.3977,0.0000,0.0039,2.2336,0.0504,2.6855
2015,12,0.4425,0.0000,0.1100,0.9096,0.0771,1.5391
2016,1,0.1950,0.0000,0.0423,0.1307,0.0224,0.3904
2016,2,0.2089,0.0073,0.0445,16.5951,0.0236,16.8794
2016,3,0.1804,0.0366,0.0402,50.2276,0.0184,50.5031
2016,4,0.1930,0.0394,0.0463,13.4244,0.0218,13.7249
2016,5,0.1552,0.0007,2.6786,2.8527,0.0223,5.7095
2016,6,0.3040,0.0000,0.0758,0.5081,0.0477,0.9356
2016,7,96.5508,15.6322,43.6756,63.0674,0.1068,219.0328
2016,8,165.4562,31.9336,108.1379,308.2963,0.2414,614.0654
2016,9,105.1443,9.7521,77.4350,130.2952,0.1636,322.7902
