Sampling_point,Easting,Northing,Distance_Murray_Mouth
Murray Mouth,308015,6063155,0
Tauwitchere,320218,6059692,13.58
Mark Pt,325762,6054914,20.97
Long Point,333756,6048260,31.43
Noonameena,342849,6041481,42.81
Bonneys,347969,6037304,50.08
McGrath Flat Nth,354600,6029390,60.88
Parnka Pt,355237,6025730,65.21
Villa de Yumpa,359175,6022894,70.47
Stony Well,365104,6017790,78.3
North Jacks Pt,369342,6010972,86.4
South Policemans Pt,372453,6005680,92.59
Snipe Point,374406,6002900,95.99
1.8km west of Salt Creek,375882,6000470,98.84
South Salt Creek,377463,6000594,100.44
3.2km south of Salt Ck,377570,5997290,102.48
